,EVENT TIMES SHOWN ARE GMT,,,,,,,,,,Overall,Stint 1 - Day - 15:00-17:00,,,,,,,Stint 2 - Day - 17:00-19:00,,,,,,,Stint 3 - Day - 19:00-21:00,,,,,,,Stint 4 - Day - 21:00-23:00,,,,,,,Stint 5 - Day - 23:00-01:00,,,,,,,Stint 6 - Night - 01:00-03:00,,,,,,,Stint 7 - Night - 03:00-05:00,,,,,,,Stint 8 - Night - 05:00-07:00,,,,,,,Stint 9 - Night - 07:00-09:00,,,,,,,Stint 10 - Night - 09:00-11:00,,,,,,,Stint 11 - Night - 11:00-13:00,,,,,,,Stint 12 - Day - 13:00-15:00,,,,,,,Overall,,
Pos,Team Name,,Car Choice,,Class,Car #,Best 2 Lap Times,Numeric Lap Time,Lobby,Quali,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,Total Distance,Stints Complete,Points
10,NDL Green,,1983 Jaguar #44 XJR-5,,P,313,2:57.624,177624,2,4,2673.57,NDL Daniel,NDL Daniel,,,,36265,219.91,NDL Dindu,NDL Dindu,,,,2032,225.50,NDL Daniel,NDL Daniel,,,,37848,218.25,NDL Micro,NDL Micro,,,,17912,223.36,NDL HotPokets,NDL HotPokets,,,,10079,223.62,NDL Hotdog,NDL Hotdog,,,,21069,222.70,NDL HotPokets,NDL HotPokets,,,,10912,222.90,NDL Hotdog,NDL Hotdog,,,,32849,220.26,NDL Dindu,NDL Dindu,,,,323,225.77,NDL Micro,NDL Micro,,,,15399,223.35,NDL Dindu,NDL Dindu,,,,2486,225.42,NDL Micro,NDL Micro,,,,3436,224.40,2673.568,12,148
11,SDW Proto,,1983 Porsche #11 956,,P,233,2:56.701,176701,1,5,2672.71,SDW Swift,SDW Swift,,,,9387,225.84,SDW Garmite,SDW Garmite,,,,11126,224.89,Koarsse,Koarsse,,,,3039,227.23,SDW Swift,SDW Swift,,,,22827,223.34,SDW Tsunami,SDW Tsunami,,,,24598,223.92,SDW Blaziian,SDW Blaziian,,,,15430,224.44,SDW Tsunami,SDW Tsunami,,,,6386,225.29,SDW Blaziian,SDW Blaziian,,,,15363,223.81,SDW Tsunami,SDW Tsunami,,,,8657,225.24,SDW Swift,SDW Swift,,,DNF,,202.46,Koarsse,Koarsse,,,,7931,225.98,SDW Garmite,SDW Garmite,,,,14273,225.01,2672.710,11,145
12,SFM Competizione,,1983 Jaguar #44 XJR-5,,P,24,2:58.047,178047,3,2,2669.50,JustUnkuuu,JustUnkuuu,,,,7030,222.33,FreeL4ncer9801,FreeL4ncer9801,,,,21365,220.07,SFM Darkzer,SFM Darkzer,225,8014,12754,0,225.10,JustUnkuuu,JustUnkuuu,,,,12170,222.64,JustUnkuuu,JustUnkuuu,,,,7630,223.50,FreeL4ncer9801,FreeL4ncer9801,,,,14573,220.39,SFM Darkzer,SFM Darkzer,224,21,4803,0,224.09,SFM Darkzer,SFM Darkzer,223,12402,12794,0,223.93,FreeL4ncer9801,FreeL4ncer9801,,,,20373,219.57,FreeL4ncer9801,FreeL4ncer9801,,,,15034,220.30,SFM Darkzer,SFM Darkzer,224,1326,5292,0,224.25,JustUnkuuu,JustUnkuuu,223,31,3551,0,223.33,2669.503,12,142
13,team 3art E-sport 1,,1983 Porsche #11 956,,P,690,2:59.560,179560,4,1,2664.00,X3art rastaX,X3art rastaX,,,,13208,220.37,X3art Nico,X3art Nico,,,,4365,222.08,X3art Velozo,X3art Velozo,,,,3283,223.29,X3art Velozo,X3art Velozo,,,,483,223.43,X3art Hard,X3art Hard,,,,10365,222.24,X3art Hard,X3art Hard,,,,632,223.64,X3art rastaX,X3art rastaX,,,,16269,218.44,X3art Nico,X3art Nico,,,,9172,221.64,X3art Velozo,X3art Velozo,,,,1741,222.83,X3art Nico,X3art Nico,,,,8485,221.83,X3art rastaX,X3art rastaX,,,,13375,220.24,X3art Hard,X3art Hard,,,,513,223.99,2664.002,12,139
14,AMS Astro,,1983 Jaguar #44 XJR-5,,P,683,2:59.466,179466,3,9,2662.86,AMS Andrew14,AMS Andrew14,,,,12023,221.39,AMS Kustom Dipz,AMS Kustom Dipz,,,,16910,220.92,AMS Virage,AMS Virage,,,,8014,223.58,AMS Kenpachi,AMS Kenpachi,,,,6715,223.67,AMS Virage,AMS Virage,,,,2952,224.39,AMS Andrew14,AMS Andrew14,,,,8068,221.62,AMS Kustom Dipz,AMS Kustom Dipz,,,,18249,220.64,AMS Phantom,AMS Phantom,,,,12402,221.58,AMS Kenpachi,AMS Kenpachi,,,,1170,223.20,AMS Phantom,AMS Phantom,,,,8977,221.45,AMS Andrew14,AMS Andrew14,,,,17324,220.97,AMS Phantom,AMS Phantom,,,,15441,220.41,2662.861,12,136
15,SFM Jag-war,,1983 Jaguar #44 XJR-5,,P,97,3:00.169,180169,4,6,2661.04,Xenocity9793,Xenocity9793,,,,8371,221.28,LR BLAZER GUNZ,LR BLAZER GUNZ,,,,8775,221.24,Kris33PAFC,Kris33PAFC,,,,12907,221.47,SFMichaels,SFMichaels,223,483,3009,0,223.52,LR BLAZER GUNZ,LR BLAZER GUNZ,,,,14952,221.37,moogsy23,moogsy23,,,,4349,222.93,LR BLAZER GUNZ,LR BLAZER GUNZ,,,,566,221.42,LR BLAZER GUNZ,LR BLAZER GUNZ,,,,16083,220.33,SFMichaels,SFMichaels,,,,10647,221.14,Kris33PAFC,Kris33PAFC,,,,10421,221.47,LR BLAZER GUNZ,LR BLAZER GUNZ,,,,3126,222.18,SFMichaels,SFMichaels,,,,7330,222.70,2661.041,12,133
16,LMP eSports Team Shindo,,1983 Jaguar #44 XJR-5,,P,825,2:57.065,177065,1,8,2657.67,LMP Erimus,LMP Erimus,,,,14508,224.87,LMP Erimus,LMP Erimus,,,DNF,,203.32,LMP Erimus,LMP Erimus,,,DNF,,203.32,LMP Smiley,LMP Smiley,,,,6614,226.41,LMP Smiley,LMP Smiley,,,,11508,226.39,LMP Goki,LMP Goki,,,,12287,225.04,LMP TVR,LMP TVR,,,,13586,223.93,LMP Goki,LMP Goki,,,,4498,225.87,LMP Smiley,LMP Smiley,,,,19523,223.18,LMP Goki,LMP Goki,,,,17534,224.68,LMP TVR,LMP TVR,,,,9641,225.66,LMP Smiley,LMP Smiley,,,,9230,225.97,2657.672,10,130
17,PTG Jagster,,1983 Jaguar #44 XJR-5,,P,666,2:57.852,177852,2,7,2651.60,Ptg lilCESAR,Ptg lilCESAR,,,,13860,224.15,Ptg neb,Ptg neb,,,,11905,223.63,Ptg lilCESAR,Ptg lilCESAR,,,,2155,225.01,Ptg neb,Ptg neb,,,,32007,220.70,RZM Salti,RZM Salti,,,,3037,224.96,Ptg neb,Ptg neb,,,,25479,221.87,Rzm salti,Rzm salti,,,,11021,222.88,Rzm salti,Rzm salti,,,,14943,223.65,Ptg chungus,Ptg chungus,,,,16372,222.73,Ptg chungus,Ptg chungus,,,DNF,,200.41,Ptg lilCESAR,Ptg lilCESAR,,,,19270,222.24,PTG Chungus,PTG Chungus,,,,10005,223.16,2651.599,11,127
18,VER Very Legal,,1983 Jaguar #44 XJR-5,,P,21,2:58.568,178568,3,3,2648.75,TTJ111,TTJ111,,,,2372,223.21,STEEL 5688,STEEL 5688,,,,5116,223.15,TTJ111,TTJ111,,,,4956,224.16,TTJ111,TTJ111,,,,1233,224.71,Tact1calFall0ut,Tact1calFall0ut,,,,15642,221.99,Tact1calFall0ut,Tact1calFall0ut,,,DNF,,199.84,SBR Reverb,SBR Reverb,,,,4823,223.18,Tact1calFall0ut,Tact1calFall0ut,,,,29385,218.36,STEEL 5688,STEEL 5688,223,1170,4213,0,223.42,SBR Reverb,SBR Reverb,223,5374,9880,0,223.15,STEEL 5688,STEEL 5688,,,,11153,222.14,SBR Reverb,SBR Reverb,,,,31,223.33,2648.749,11,124
19,Cheese Burger League Racing,,1983 Porsche #11 956,,P,98,2:59.108,179108,3,4,2648.57,CBL KNN98,CBL KNN98,,,,10743,221.63,CBL Muuf665,CBL Muuf665,,,,6238,222.94,CBL Feiniu,CBL Feiniu,,,,25396,220.29,CBL Feiniu,CBL Feiniu,,,,13002,222.48,CBL Muhammad,CBL Muhammad,,,,18869,221.37,CBL BXKong,CBL BXKong,,,,12104,220.86,CBL Muhammad,CBL Muhammad,,,,22446,219.84,CBL BXKong,CBL BXKong,,,,16391,220.82,CBL Feiniu,CBL Feiniu,,,,21642,219.32,CBL Muuf665,CBL Muuf665,,,,5374,222.13,CBL KNN98,CBL KNN98,,,,9619,222.43,CBL BXKong,CBL BXKong,,,,11891,221.08,2648.568,12,121
