,EVENT TIMES SHOWN ARE GMT,,,,,,,,,,Overall,Stint 1 - Day - 15:00-17:00,,,,,,,Stint 2 - Day - 17:00-19:00,,,,,,,Stint 3 - Day - 19:00-21:00,,,,,,,Stint 4 - Day - 21:00-23:00,,,,,,,Stint 5 - Day - 23:00-01:00,,,,,,,Stint 6 - Night - 01:00-03:00,,,,,,,Stint 7 - Night - 03:00-05:00,,,,,,,Stint 8 - Night - 05:00-07:00,,,,,,,Stint 9 - Night - 07:00-09:00,,,,,,,Stint 10 - Night - 09:00-11:00,,,,,,,Stint 11 - Night - 11:00-13:00,,,,,,,Stint 12 - Day - 13:00-15:00,,,,,,,Overall,,
Pos,Team Name,,Car Choice,,Class,Car #,Best 2 Lap Times,Numeric Lap Time,Lobby,Quali,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,Total Distance,Stints Complete,Points
20,UDP Racing - Blue,,1983 Porsche #11 956,,P,11,2:59.630,179630,4,2,2640.66,UDPMariaTDR,UDPMariaTDR,222,8371,9071,0,222.87,UDPMariaTDR,UDPMariaTDR,222,4365,4862,0,222.91,UDPhyper,UDPhyper,,,,42014,215.95,UDPhyper,UDPhyper,,,,33167,217.24,femracer,femracer,,,,3302,223.57,femracer,femracer,,,,602,223.64,UDPMariaTDR,UDPMariaTDR,221,566,3085,0,221.52,UDPMariaTDR,UDPMariaTDR,,,,35628,216.63,Femracer,Femracer,223,1741,6194,0,223.16,Femracer,Femracer,,,,1687,223.12,UDPMariaTDR,UDPMariaTDR,222,2798,3995,0,222.77,UDP Haymaker,UDP Haymaker,,,,58750,212.96,2640.658,12,118
21,Local Line,,1983 Porsche #11 956,,P,23,2:59.763,179763,4,3,2631.61,Blocktoberfest,Blocktoberfest,,,,8490,221.26,Blocktoberfest,Blocktoberfest,,,,9300,221.14,TheSakuraShark,TheSakuraShark,,,,6628,222.65,TheSakuraShark,TheSakuraShark,,,,5827,222.42,RacinBacon96,RacinBacon96,224,14952,19183,0,224.20,RacinBacon96,RacinBacon96,223,602,1886,0,223.76,QueenBibah24,QueenBibah24,,,,14329,218.81,TheSakuraShark,TheSakuraShark,,,,5874,222.26,QueenBibah24,QueenBibah24,,,DNF,,198.54,QueenBibah24,QueenBibah24,,,,28582,218.03,Blocktoberfest,Blocktoberfest,,,,13922,220.14,RacinBacon96,RacinBacon96,224,161826,166654,0,224.09,2631.607,11,116
22,Autoholic Virgin Racing,,1983 Jaguar #44 XJR-5,,P,69,2:58.014,178014,3,1,2631.33,EisaBea,EisaBea,,,,4208,222.87,ChungJohn457,ChungJohn457,,,DNF,,201.66,CaiCaiProMax,CaiCaiProMax,,,,8341,223.52,Hanser1560,Hanser1560,224,1233,1534,0,224.94,Hanser1560,Hanser1560,224,2952,3227,0,224.95,ChungJohn457,ChungJohn457,,,,2930,222.59,EisaBea,EisaBea,,,,21,224.09,Hanser1560,Hanser1560,,,,-1353,224.18,EisaBea,EisaBea,,,,22544,219.15,CaiCaiProMax,CaiCaiProMax,,,,6363,221.94,AliceRT,AliceRT,,,,11166,222.13,Hanser1560,Hanser1560,,,DNF,,201.66,2631.333,10,114
23,NWR Proto,,1983 Jaguar #44 XJR-5,,P,157,2:59.298,179298,3,6,2626.28,NWR Origin,NWR Origin,223,2372,4154,0,223.66,NWR Origin,NWR Origin,,,DNF,,199.59,NWR Shadow,NWR Shadow,,,,11568,222.91,NWR Birchy7,NWR Birchy7,,,,11044,222.85,NWR Shadow,NWR Shadow,,,,7582,223.51,NWR Birchy7,NWR Birchy7,,,,3756,222.44,NWR Shadow,NWR Shadow,,,,23407,219.66,NWR Birchy7,NWR Birchy7,,,,13218,221.42,NWR Birchy7,NWR Birchy7,,,,9573,221.61,NWR Jesko,NWR Jesko,,,,66107,210.63,NWR Origin,NWR Origin,,,,1326,224.00,NWR Jesko,NWR Jesko,,,,39303,215.89,2626.277,11,112
24,APEX Driving School - PRO,,1983 Jaguar #44 XJR-5,,P,45,2:59.301,179301,3,7,2623.17,APEX KIMI7,APEX KIMI7,,,,13936,221.02,APEX WYNOT,APEX WYNOT,,,DNF,,198.63,Uninanimate21,Uninanimate21,,,,31033,219.22,APEX FUEGO,APEX FUEGO,,,,24244,220.35,APEX WYNOT,APEX WYNOT,,,,24189,220.37,APEX FUEGO,APEX FUEGO,,,,13163,220.66,APEX WYNOT,APEX WYNOT,,,,39028,216.70,Uninanimate21,Uninanimate21,,,,12517,221.56,APEX FUEGO,APEX FUEGO,,,,17314,220.14,APEX KIMI7,APEX KIMI7,,,,7310,221.76,Uninanimate21,Uninanimate21,,,,21256,220.22,APEX KIMI7,APEX KIMI7,,,,4217,222.53,2623.174,11,110
25,DEXTERITY II,,1983 Porsche #11 956,,P,411,2:57.650,177650,2,5,2603.86,DEX Allysson,DEX Allysson,,,,11374,224.62,DEX Rafarello,DEX Rafarello,,,DNF,,198.89,DEX Felipe,DEX Felipe,,,DNF,,198.89,DEX Allysson,DEX Allysson,,,DNF,,198.89,DEX DEEGEE,DEX DEEGEE,,,,30977,219.66,DEX Rafarello,DEX Rafarello,,,,12184,224.39,DEX Smolker,DEX Smolker,,,,6733,223.69,DEX Smolker,DEX Smolker,,,,6778,225.19,DEX Smolker,DEX Smolker,225,14,888,0,225.83,DEX Rafarello,DEX Rafarello,,,,12410,223.92,DEX Rafarello,DEX Rafarello,,,,9888,224.02,DEX DEEGEE,DEX DEEGEE,,,,33606,218.69,2603.864,9,108
26,DMS eSports Jaguar,,1983 Jaguar #44 XJR-5,,P,94,2:59.806,179806,4,5,2601.93,s4ska,s4ska,,,,15070,220.01,boiledbird88,boiledbird88,,,,150310,194.44,DMS Jarbs,DMS Jarbs,223,37080,37557,0,223.91,s4ska,s4ska,,,,14603,220.76,DMSRebel1022,DMSRebel1022,,,,64865,211.91,DMSRebel1022,DMSRebel1022,,,,57320,212.90,s4ska,s4ska,,,,9416,219.74,DMS Jarbs,DMS Jarbs,223,5874,9181,0,223.37,DMSRebel1022,DMSRebel1022,,,,61434,211.52,DMS Jarbs,DMS Jarbs,223,1687,4645,0,223.44,DMS Jarbs,DMS Jarbs,,,,2798,222.24,s4ska,s4ska,,,,33805,217.68,2601.932,12,106
27,FTC Porche,,1983 Porsche #11 956,,P,152,2:59.788,179788,4,4,2587.12,FTC Sadie,FTC Sadie,,,,33369,216.55,FTC Sadie,FTC Sadie,,,,18373,219.43,FTC Sadie,FTC Sadie,,,,40773,216.19,FTC Sadie,FTC Sadie,,,,18303,220.06,FTC Sadie,FTC Sadie,,,,21098,220.20,FTC Sadie,FTC Sadie,,,DNF,,198.43,BotATron99,BotATron99,,,,6356,220.32,BotATron99,BotATron99,,,,11293,221.23,FTC Venom,FTC Venom,,,DNF,,198.43,FTC Venom,FTC Venom,,,,17412,220.14,BotATron99,BotATron99,,,,13577,220.20,FTC Venom,FTC Venom,,,,22956,219.74,2587.121,10,104
28,Sovereign Racing,,1983 Porsche #11 956,,P,4,3:01.647,181647,4,7,2545.80,KanyeEast3284,KanyeEast3284,,,,37714,215.72,KanyeEast3284,KanyeEast3284,,,,19431,219.23,QuadRings,QuadRings,,,,67957,211.04,QuadRings,QuadRings,,,,63647,211.47,QuadRings,QuadRings,,,DNF,,193.53,SkylineLofe,SkylineLofe,,,DNF,,194.81,SkylineLofe,SkylineLofe,,,,22694,217.22,SkylineLofe,SkylineLofe,,,,17150,220.13,Toaster Lord YT,Toaster Lord YT,,,,57185,212.33,YE3ZS,YE3ZS,,,,46796,214.58,YE3ZS,YE3ZS,,,,25086,218.02,Toaster Lord YT,Toaster Lord YT,,,,33587,217.72,2545.799,10,102
29,RZX Shadow,,1983 Jaguar #44 XJR-5,,P,19,2:57.194,177194,1,9,2463.82,RZX zDwarf,RZX zDwarf,,,,17843,224.23,RZX JjRedz,RZX JjRedz,,,,12845,224.57,RZX zDwarf,RZX zDwarf,,,,12355,225.47,RZX JjRedz,RZX JjRedz,,,,5240,226.67,RZX Jamesyy,RZX Jamesyy,,,,25495,223.75,RZX Jamesyy,RZX Jamesyy,,,,21842,223.23,RZX zDwarf,RZX zDwarf,,,,11781,224.27,RZX JjRedz,RZX JjRedz,,,,28453,221.33,RZX JjRedz,RZX JjRedz,,,,20362,223.02,RZX Jamesyy,RZX Jamesyy,,,,26681,222.94,RZX zDwarf,RZX zDwarf,,,,16558,224.35,RZX JjRedz,RZX JjRedz,,,DNS,,0.00,2463.823,11,100
30,DEXTERITY,,1983 Porsche #11 956,,P,410,2:55.684,175684,1,2,2454.00,RBM MGEZIN,RBM MGEZIN,227,4012,6049,0,227.61,DEX CODCAOS,DEX CODCAOS,,,,3685,226.30,DEX Dreams,DEX Dreams,,,DNF,,203.44,RBM MGEZIN,RBM MGEZIN,,,DNF,,203.44,DEX Sabino,DEX Sabino,,,,23307,224.16,DEX CODCAOS,DEX CODCAOS,,,,4943,226.43,DEX Sabino,DEX Sabino,,,,9844,224.64,DEX RELAMPZ,DEX RELAMPZ,,,,8621,225.09,DEX RELAMPZ,DEX RELAMPZ,,,,13148,224.38,DEX CODCAOS,DEX CODCAOS,,,,5272,227.00,RBM MGEZIN,RBM MGEZIN,227,3977,6717,0,227.48,DEX CODCAOS,DEX CODCAOS,,,,8599,226.09,2453.995,10,98
31,AMS LPG 212,,1983 Jaguar #44 XJR-5,,P,212,2:57.767,177767,2,6,2431.02,AMS Mead 212,AMS Mead 212,,,,9163,225.04,AMS Rambo,AMS Rambo,,,,14436,223.15,AMS Mead 212,AMS Mead 212,,,DNF,,200.90,AMS Indoctro,AMS Indoctro,,,,16893,223.56,AMS Murks,AMS Murks,,,,12114,223.24,AMS Indoctro,AMS Indoctro,,,,19920,222.92,AMS B3AST,AMS B3AST,,,,5528,223.92,AMS B3AST,AMS B3AST,,,,14992,223.64,AMS Murks,AMS Murks,,,,14169,223.15,AMS Rambo,AMS Rambo,,,,21233,222.25,AMS Mead 212,AMS Mead 212,,,DNS,,0.00,AMS Rambo,AMS Rambo,,,,20664,221.14,2431.018,10,96
32,Raven Racing,,1983 Jaguar #44 XJR-5,,P,13,2:59.359,179359,3,8,2222.10,Nizrrama,Nizrrama,,,,2562,223.18,Nizrrama,Nizrrama,224,5116,9762,0,224.12,RVN Twich,RVN Twich,,,,11707,222.89,Will darrell742,Will darrell742,,,,18728,221.40,Nizrrama,Nizrrama,,,,92,224.93,Nizrrama,Nizrrama,223,2930,7425,0,223.15,RVN Twich,RVN Twich,,,,9597,222.28,RVN Twich,RVN Twich,,,,3020,223.35,RVN twich,RVN twich,,,,1445,223.15,Will darrell742,Will darrell742,,,,26323,218.16,RVN AmityQwQ,RVN AmityQwQ,,,,51272,214.54,RVN Twich,RVN Twich,,,,5423,222.31,2222.104,12,94
33,Zephyrus Purple,,1983 Jaguar #44 XJR-5,,P,744,2:57.833,177833,2,7,2188.63,ZR Clover,ZR Clover,,,,15852,223.78,ZR Krizalid,ZR Krizalid,,,DNF,,201.81,ZR Clover,ZR Clover,,,,1547,225.13,ZR Krizalid,ZR Krizalid,,,DNF,,201.81,ZR Benito,ZR Benito,,,,9121,223.80,ZR Benito,ZR Benito,,,,24508,222.05,ZR Krizalid,ZR Krizalid,,,,22767,220.66,ZR Krizalid,ZR Krizalid,,,,17540,223.16,ZR Krizalid,ZR Krizalid,,,,17518,222.52,ZR Krizalid,ZR Krizalid,,,,12429,223.92,ZR Krizalid,ZR Krizalid,,,DNS,,0.00,ZR Benito,ZR Benito,,,DNS,,0.00,2188.626,8,93
34,DIR Proto,,1985 Nissan #83 GTP ZX-Turbo,,P,38,3:02.616,182616,4,8,1879.91,BoeingSon,BoeingSon,,,DNF,,194.63,C480,C480,,,,53369,212.80,forzamanR8,forzamanR8,,,,37080,216.89,SDR Dremora,SDR Dremora,,,,51085,213.85,BoeingSon,BoeingSon,,,,14253,221.50,SDR Dremora,SDR Dremora,,,DNF,,194.72,BoeingSon,BoeingSon,,,DNS,,0.00,forzamanR8,forzamanR8,,,DNS,,0.00,C480,C480,,,,38027,215.95,forzamanR8,forzamanR8,,,,35322,216.75,C480,C480,,,DNF,,194.72,BoeingSon,BoeingSon,,,DNS,,0.00,1879.907,6,92
35,FTC Ilford-Porsche,,1983 Porsche #11 956,,P,56,2:59.241,179241,3,5,1052.01,Heikonyan,Heikonyan,,,DNF,,197.61,Heikonyan,Heikonyan,,,DNF,,197.61,FTC Sakura,FTC Sakura,,,,10049,223.20,FTC Sakura,FTC Sakura,,,,12873,222.50,FTC Ashkan,FTC Ashkan,,,,63145,212.99,FTC Ashkan,FTC Ashkan,,,DNF,,0.00,Heikonyan,Heikonyan,,,DNS,,0.00,FTC Ashkan,FTC Ashkan,,,DNS,,0.00,FTC Sakura,FTC Sakura,,,DNS,,0.00,FTC Sakura,FTC Sakura,,,DNS,,0.00,Heikonyan,Heikonyan,,,DNS,,0.00,FTC Sakura,FTC Sakura,,,DNS,,0.00,1052.014,3,91
1,SDW Young Rich and Noble,,1984 Nissan #20 Bluebird Super Silhouette,,GT,575,3:20.474,200474,1,1,2398.31,SDW Yokohama,SDW Yokohama,,,,146796,199.81,SDW Yokohama,SDW Yokohama,,,,140970,200.30,SDW Bowtie48,SDW Bowtie48,,,,143904,200.55,SDW Whiteout,SDW Whiteout,,,,140636,201.03,AMS Razo,AMS Razo,,,,146452,200.84,SDW Whiteout,SDW Whiteout,,,,144462,200.00,SDW TheSavi1,SDW TheSavi1,,,,143599,199.30,SDW TheSavi1,SDW TheSavi1,,,,143598,199.53,SDW Yokohama,SDW Yokohama,,,,145305,199.35,AMS Razo,AMS Razo,,,,147474,200.07,SDW TheSavi1,SDW TheSavi1,,,,148877,199.28,SDW Bowtie48,SDW Bowtie48,,,,155624,198.24,2398.310,12,200
2,Friends 1ˢᵗ Team Nissan,,1983 Nissan #23 Silvia Super Silhouette,,GT,10,3:21.454,201454,1,4,2387.64,F1R NeMy,F1R NeMy,,,,148878,199.42,F1R Dezi9n,F1R Dezi9n,,,,147339,199.09,F1R Takashi,F1R Takashi,,,,152888,198.85,F1R Takashi,F1R Takashi,,,,150171,199.22,F1R Dezi9n,F1R Dezi9n,,,,156069,199.02,F1R Dezi9n,F1R Dezi9n,,,,148828,199.18,F1R Dezi9n,F1R Dezi9n,,,,145759,198.90,F1R Obvious,F1R Obvious,,,,154440,197.47,F1R NeMy,F1R NeMy,,,,146359,199.16,F1R NeMy,F1R NeMy,,,,150223,199.54,F1R Takashi,F1R Takashi,,,,152308,198.63,F1R NeMy,F1R NeMy,,,,150788,199.16,2387.637,12,190
3,Vanatix eSports,,1982 Ferrari #72 512 BB/LM,,GT,721,3:21.823,201823,1,8,2372.23,SVR Spector,SVR Spector,,,,156238,198.02,SeldomLegacy,SeldomLegacy,,,,147842,199.00,SeldomLegacy,SeldomLegacy,,,,144756,200.39,VNX ZachThe1,VNX ZachThe1,,,,167575,195.93,VNX Carried,VNX Carried,,,,151369,199.91,VNX Carried,VNX Carried,,,,144604,199.98,VNX Driftz,VNX Driftz,,,,150793,197.94,VNX Driftz,VNX Driftz,,,,152660,197.81,VNX Carried,VNX Carried,,,,142544,199.88,VNX Carried,VNX Carried,,,,148091,199.95,VNX ZachThe1,VNX ZachThe1,,,,224051,185.05,SVR Spector,SVR Spector,,,,154896,198.38,2372.226,12,183
4,THR Baguette,,1983 Nissan #23 Silvia Super Silhouette,,GT,50,3:21.489,201489,1,5,2370.44,THR Delete,THR Delete,,,,154030,198.44,THR Delete,THR Delete,,,,146741,199.21,THR Benz,THR Benz,,,,148780,199.63,THR Benz,THR Benz,,,DNF,,179.44,THR Lags,THR Lags,,,,148054,200.53,THR Lags,THR Lags,,,,147482,199.43,THR Benz,THR Benz,,,,146445,198.77,THR Benz,THR Benz,,,,146941,198.89,THR Lags,THR Lags,,,,143382,199.72,THR Lags,THR Lags,,,,154165,198.80,THR Delete,THR Delete,,,,152995,198.50,THR Lags,THR Lags,,,,151209,199.08,2370.441,11,178
5,LMP eSports Team Modulo,,1981 Ford #2 Capri Turbo,,GT,824,3:22.171,202171,1,9,2369.17,LMP Billbo,LMP Billbo,,,,156544,197.97,LMP Oliver,LMP Oliver,,,,155674,197.52,LMP Amoeba,LMP Amoeba,,,,151409,199.13,LMP Billbo,LMP Billbo,,,,153016,198.68,LMP Amoeba,LMP Amoeba,,,,158521,198.55,LMP Juicebox,LMP Juicebox,,,,162795,196.53,LMP Amoeba,LMP Amoeba,,,,148650,198.35,LMP Oliver,LMP Oliver,,,,160807,196.27,LMP Billbo,LMP Billbo,,,,154373,197.64,LMP Juicebox,LMP Juicebox,,,,165072,196.73,LMP Oliver,LMP Oliver,,,,170592,195.17,LMP Juicebox,LMP Juicebox,,,,164127,196.63,2369.165,12,173
6,PTG Allstar,,1979 Datsun #33 280ZX Turbo,,GT,86,3:23.345,203345,2,6,2367.82,PTG J Caesar,PTG J Caesar,,,,155696,197.29,TPR Mellish,TPR Mellish,,,,152196,197.06,PTG J Caesar,PTG J Caesar,,,,140666,198.78,TPR Mellish,TPR Mellish,,,,148560,198.62,Lud1cr0us sp33d,Lud1cr0us sp33d,,,,153900,196.38,PTG J Caesar,PTG J Caesar,,,,150576,198.18,Lud1cr0us sp33d,Lud1cr0us sp33d,,,,152765,196.04,SLS Knockhill,SLS Knockhill,,,,152835,197.53,SLS Knockhill,SLS Knockhill,,,,147493,197.90,TPR Mellish,TPR Mellish,,,,149898,197.88,PTG J Caesar,PTG J Caesar,,,,149967,197.49,SLS Knockhill,SLS Knockhill,,,,155396,195.62,2367.822,12,168
7,ESV Motorsport,,1979 Datsun #33 280ZX Turbo,,GT,51,3:21.288,201288,1,2,2366.33,ESV Barcode,ESV Barcode,,,,150563,199.10,ESV Green,ESV Green,,,,146710,199.21,ESV Kartz,ESV Kartz,,,,147176,199.93,ESV Green,ESV Green,,,,145035,200.19,ESV Boberts,ESV Boberts,,,,159243,198.41,ESV Boberts,ESV Boberts,,,,154891,198.03,ESV Barcode,ESV Barcode,,,,144470,199.14,ESV Kartz,ESV Kartz,,,DNF,,178.56,ESV Kartz,ESV Kartz,,,,150428,198.38,ESV Boberts,ESV Boberts,,,,159317,197.82,ESV Green,ESV Green,,,,152291,198.64,ESV Barcode,ESV Barcode,,,,152142,198.90,2366.329,11,163
8,LMP eSports Team Carson,,1976 Chevrolet #76 Greenwood Corvette,,GT,828,3:24.443,204443,3,7,2365.32,LMP Flo,LMP Flo,,,,138464,197.44,LMP Veloce,LMP Veloce,,,,151355,195.45,LMP Veloce,LMP Veloce,,,,142467,198.12,LMP RCKCHLK,LMP RCKCHLK,,,,142290,197.99,LMP RCKCHLK,LMP RCKCHLK,,,,142283,198.00,RBHM RoadRAT,RBHM RoadRAT,,,,138329,196.95,LMP EKleKtiK,LMP EKleKtiK,,,,151500,195.40,LMP EKleKtiK,LMP EKleKtiK,,,,145910,196.29,LMP RCKCHLK,LMP RCKCHLK,,,,135745,197.71,LMP Flo,LMP Flo,,,,134226,197.73,RBHM RoadRAT,RBHM RoadRAT,,,,147053,196.40,LMP Flo,LMP Flo,,,,134519,197.86,2365.324,12,158
9,OSM Racing White,,1975 BMW #25 3.0 CSL,,GT,333,3:22.367,202367,2,1,2363.34,OSM Brucee33,OSM Brucee33,,,,149159,198.53,OSM Yuzi,OSM Yuzi,,,,142850,198.83,OSM Brucee33,OSM Brucee33,,,DNF,,178.95,OSM Brucee33,OSM Brucee33,,,,142987,199.68,OSM PercyHR,OSM PercyHR,,,,142158,198.61,Tachibanaruis,Tachibanaruis,,,,148841,198.50,OSM Yuzi,OSM Yuzi,,,,141361,198.20,Tachibanaruis,Tachibanaruis,,,,147713,198.50,OSM Hardy,OSM Hardy,,,,146649,198.06,OSM PercyHR,OSM PercyHR,,,,147438,198.35,OSM Yuzi,OSM Yuzi,,,,144043,198.61,OSM Hardy,OSM Hardy,,,,140061,198.53,2363.340,11,153
10,Zephyrus Blue,,1974 Porsche #1 911 RSR,,GT,5,3:21.352,201352,1,3,2362.62,ZR Volatile,ZR Volatile,,,,156762,197.92,ZR Volatile,ZR Volatile,,,DNF,,178.93,ZR Hayai Cranki,ZR Hayai Cranki,,,,153181,198.80,ZR Berzerk,ZR Berzerk,,,,141451,200.87,ZR Berzerk,ZR Berzerk,,,,158638,198.53,ZR Darius,ZR Darius,,,,153039,198.38,ZR Hayai Cranki,ZR Hayai Cranki,,,,148905,198.30,ZR Darius,ZR Darius,,,,149177,198.47,ZR Berzerk,ZR Berzerk,,,,151838,198.12,ZR Hayai Cranki,ZR Hayai Cranki,,,,156668,198.32,ZR Berzerk,ZR Berzerk,,,,155465,198.04,ZR Volatile,ZR Volatile,,,,157196,197.94,2362.624,11,148
11,CR Motorsport,,1981 Ford #2 Capri Turbo,,GT,17,3:23.181,203181,2,4,2361.56,NDL Beats,NDL Beats,,,,148174,198.72,Ferrariclub9,Ferrariclub9,,,,151363,197.22,CR KORNI,CR KORNI,,,,153148,196.41,Audianer007,Audianer007,,,,157154,196.99,NDL Beats,NDL Beats,,,,140786,198.87,Audianer007,Audianer007,,,,165582,195.33,CR KORNI,CR KORNI,,,,158517,194.95,CR KORNI,CR KORNI,,,,164040,195.41,Ferrariclub9,Ferrariclub9,,,,154751,196.53,NDL Beats,NDL Beats,,,,146161,198.59,Audianer007,Audianer007,,,,160076,195.58,Ferrariclub9,Ferrariclub9,,,,146286,197.35,2361.555,12,145
12,LMP eSports Team Croissants,,1981 Ford #2 Capri Turbo,,GT,826,3:23.806,203806,2,10,2355.96,LMP Fazer,LMP Fazer,,,,161613,196.17,LMP Elemens,LMP Elemens,,,,150099,197.46,LMP Ranger,LMP Ranger,,,,145572,197.85,LMP ItofSan,LMP ItofSan,,,,161451,196.18,LMP Ranger,LMP Ranger,,,,147564,197.58,LMP Ranger,LMP Ranger,,,,154985,197.34,LMP Elemens,LMP Elemens,,,,154273,195.75,LMP Elemens,LMP Elemens,,,,161372,195.92,Every Dex,Every Dex,,,,164938,194.60,LMP Fazer,LMP Fazer,,,,159934,195.98,Every Dex,Every Dex,,,,163107,195.00,LMP Fazer,LMP Fazer,,,,152695,196.13,2355.956,12,142
13,NDL Black,,1982 Ferrari #72 512 BB/LM,,GT,75,3:21.659,201659,1,6,2346.59,KVATR0,KVATR0,,,,152017,198.82,NDL Touge,NDL Touge,,,,150745,198.45,NDL Touge,NDL Touge,,,,151978,199.02,NDL Unfolded,NDL Unfolded,,,,145650,200.08,NDL Touge,NDL Touge,,,,157253,198.79,NDL Wara,NDL Wara,,,,154026,198.19,NDL Unfolded,NDL Unfolded,,,,144195,199.19,NDL Wara,NDL Wara,,,,148294,198.64,NDL Wara,NDL Wara,,,,149025,198.65,KVATR0,KVATR0,,,DNF,,178.80,KVATR0,KVATR0,,,DNF,,178.80,NDL Unfolded,NDL Unfolded,,,,150814,199.15,2346.590,10,139
14,HYR Luxsim24 Racing,,1983 Nissan #23 Silvia Super Silhouette,,GT,30,3:23.290,203290,2,5,2346.36,Spooky21Squid,Spooky21Squid,,,,152112,197.97,KingCameron1607,KingCameron1607,,,,149304,197.61,HYR Drryden,HYR Drryden,,,DNF,,178.07,KingCameron1607,KingCameron1607,,,,150760,198.20,HYR Swin,HYR Swin,,,,146773,197.73,BanzinXz1,BanzinXz1,,,,164339,195.57,HYR Swin,HYR Swin,,,,146686,197.19,HYR Swin,HYR Swin,,,,154616,197.19,BanzinXz1,BanzinXz1,,,,160418,195.45,Spooky21Squid,Spooky21Squid,,,,151355,197.60,BanzinXz1,BanzinXz1,,,,157784,196.01,Spooky21Squid,Spooky21Squid,,,,144135,197.75,2346.356,11,136
15,LMP eSports Team Turian,,1983 Nissan #23 Silvia Super Silhouette,,GT,827,3:24.898,204898,3,10,2343.58,Leecherd,Leecherd,,,,150078,195.24,LMP Porsche,LMP Porsche,,,,153977,194.96,LMP Dragon,LMP Dragon,,,,157474,195.28,KartRacer212429,KartRacer212429,,,,155093,195.57,LMP Porsche,LMP Porsche,,,,151337,196.29,KartRacer212429,KartRacer212429,,,,148910,194.95,Ahmad Galal4418,Ahmad Galal4418,,,,163941,193.04,LMP Dragon,LMP Dragon,,,,153483,194.86,Ahmad Galal4418,Ahmad Galal4418,,,,142779,196.38,Leecherd,Leecherd,,,,145915,195.51,LMP Porsche,LMP Porsche,,,,152858,195.30,Ahmad Galal4418,Ahmad Galal4418,,,,143200,196.21,2343.581,12,133
16,HYR Roy Millward Motorsport,,1983 Nissan #23 Silvia Super Silhouette,,GT,31,3:23.997,203997,3,2,2342.79,I AM Mamba5145,I AM Mamba5145,,,,150121,195.23,I AM Mamba5145,I AM Mamba5145,,,,141194,197.38,XI Rydog IX,XI Rydog IX,,,,159076,194.97,HYR Maul,HYR Maul,,,,144047,197.66,HYR Riddle U,HYR Riddle U,,,,156839,195.24,HYR Riddle U,HYR Riddle U,,,,143732,195.93,HYR Maul,HYR Maul,,,,148899,195.89,HYR Riddle U,HYR Riddle U,,,,150631,195.40,XI Rydog IX,XI Rydog IX,,,,161255,192.88,I AM Mamba5145,I AM Mamba5145,,,,146795,195.34,HYR Bookey,HYR Bookey,,,,177664,190.60,I AM Mamba5145,I AM Mamba5145,,,,142957,196.26,2342.792,12,130
17,HYR eSports,,1983 Nissan #23 Silvia Super Silhouette,,GT,29,3:22.198,202198,1,10,2336.82,HYRStokeyjoe,HYRStokeyjoe,,,,155635,198.14,HYR Skyline,HYR Skyline,,,,151594,198.29,HYR Fre1tas,HYR Fre1tas,,,,156380,198.19,Cali Autumn,Cali Autumn,,,DNF,,178.40,Cali Autumn,Cali Autumn,,,,160700,198.14,HYR Fre1tas,HYR Fre1tas,,,DNF,,178.06,Cali Autumn,Cali Autumn,,,,150814,197.94,HYRStokeyjoe,HYRStokeyjoe,,,,151436,198.04,HYRStokeyjoe,HYRStokeyjoe,,,,152155,198.06,HYR Fre1tas,HYR Fre1tas,,,,162794,197.16,HYR Skyline,HYR Skyline,,,,155536,198.02,HYRStokeyjoe,HYRStokeyjoe,,,,154916,198.37,2336.818,10,127
