R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
173,91,C,GT,NukeX1617,DNFX skill issued,49.377,63.89%,56.41%,40.00%,30.77%,27.50%,,,
174,92,B,GT,NWR Onioin,NWR GT,49.214,57.50%,50.00%,46.15%,44.44%,,,,
175,83,D,P,SFMichaels,SFM Jag-war,49.093,58.82%,58.82%,46.67%,33.33%,13.71%,,,
176,84,A,P,RZX Jamesyy,RZX Shadow,48.701,54.55%,51.61%,50.00%,48.48%,17.65%,,,
177,93,C,GT,LMP Porsche,LMP eSports Team Turian,48.663,65.00%,50.00%,43.59%,31.58%,24.29%,,,
178,94,C,GT,KartRacer212429,LMP eSports Team Turian,48.330,65.00%,44.74%,38.46%,,,,,
179,95,B,GT,NWR Customs,NWR GT,48.081,57.50%,56.43%,51.35%,2.86%,,,,
180,85,C,P,EisaBea,Autoholic Virgin Racing,47.975,68.75%,41.94%,41.18%,38.24%,21.21%,,,
181,96,C,GT,Cytherena,Big Schnoz: One Last Dance,47.943,61.54%,53.85%,42.86%,10.00%,,,,
182,97,C,GT,Hillfigg3r,DNFX skill issued,47.731,56.41%,51.43%,46.88%,27.50%,,,,
183,98,B,GT,T10 Tio Forza,Zephyrus Red,46.782,52.50%,48.65%,46.15%,40.71%,37.50%,,,
184,99,B,GT,EveRy Dex,LMP eSports Team Croissants,46.339,72.50%,41.18%,29.73%,13.57%,,,,
185,86,D,P,x3art Nico,team 3art E-sport 1,46.283,64.71%,44.12%,36.36%,34.38%,29.03%,,,
186,100,B,GT,ZR SHERM4N,Zephyrus Red,45.564,52.63%,52.50%,38.57%,36.84%,33.33%,,,
187,101,C,GT,JBlack240,DNFX skill issued,45.459,57.89%,51.28%,27.50%,,,,,
188,102,B,GT,TNR Hillbily,TNR eSports - Team Aces,45.272,71.43%,30.00%,,,,,,
189,103,B,GT,NWR Stevie,NWR GT,45.148,57.50%,51.43%,26.32%,,,,,
190,87,B,P,ZR Krizalid,Zephyrus Purple,44.988,66.67%,62.10%,40.63%,39.39%,28.13%,17.65%,5.88%,2.94%
191,104,D,GT,DMSdan48,DMS eSports Ford,44.849,55.00%,47.37%,39.29%,38.46%,25.71%,,,
192,105,C,GT,ACR CHOLIN,Skill Issue Crew,44.411,55.56%,48.72%,44.29%,35.00%,2.78%,,,
193,106,C,GT,LMP Dragon,LMP eSports Team Turian,44.086,65.00%,35.90%,27.78%,,,,,
194,88,B,P,AMS Rambo,AMS LPG 212,43.872,52.94%,45.97%,45.45%,36.67%,11.76%,,,
195,107,B,GT,Housman212e,Team LCR,43.745,64.10%,52.86%,18.42%,7.50%,,,,
196,89,B,P,PTG Chungus,PTG Jagster,43.724,52.94%,50.00%,42.42%,37.90%,0.00%,,,
197,90,C,P,CBL Muuf665,Cheese Burger League Racing,43.646,50.00%,47.06%,42.42%,32.26%,,,,
198,91,D,P,moogsy23,SFM Jag-war,42.717,58.82%,45.45%,,,,,,
199,92,B,P,AMS Indoctro,AMS LPG 212,42.455,61.76%,42.42%,29.84%,11.76%,,,,
200,93,B,P,DEX Allysson,DEXTERITY II,42.432,67.65%,38.71%,29.41%,0.00%,,,,
201,108,C,GT,PTG Ducky,PTG Ninjersey,42.203,71.05%,43.57%,25.00%,20.00%,0.00%,,,
202,94,C,P,NWR Origin,NWR Proto,42.131,51.61%,50.00%,35.29%,33.87%,11.76%,,,
203,95,C,P,AMS Kustom Dipz,AMS Astro,42.037,61.76%,35.29%,25.00%,,,,,
204,96,B,P,ZR Benito,Zephyrus Purple,41.735,53.23%,52.94%,30.30%,5.88%,,,,
205,109,B,GT,SWR Taikyu,Team LCR,41.613,54.29%,53.85%,7.50%,,,,,
206,97,D,P,UDPMariaTDR,UDP Racing - Blue,41.337,47.06%,45.16%,44.12%,38.24%,34.38%,0.00%,,
207,98,C,P,CaiCaiProMax,Autoholic Virgin Racing,41.283,52.94%,39.39%,38.24%,,,,,
208,110,D,GT,MOMOnica 97,Porsche Team PaINske,40.800,56.41%,45.00%,31.25%,5.26%,,,,
209,99,D,P,Kris33PAFC,SFM Jag-war,40.630,58.82%,32.35%,30.30%,,,,,
210,111,D,GT,GGA FlakBus,DIR GT,40.406,51.28%,48.72%,41.03%,39.47%,35.71%,13.89%,5.00%,
211,100,C,P,NWR Twichy,Raven Racing,40.336,54.55%,43.75%,40.00%,38.24%,37.50%,17.74%,8.82%,
212,101,B,P,NDL Daniel,NDL Green,40.155,73.53%,23.53%,22.58%,11.76%,,,,
